Date,Particulars,Vch Type,Debit,Credit
2-6-2017,Salary Payable A/c,Payment,15283,
2-6-2017,SMARTCHIP,Payment,48510,
2-6-2017,Bhavana Harjani  Travelling A/c,Payment,20000,
3-6-2017,SHAHID ALAM (GLASS),Payment,58800,
4-6-2017,AMPLE CONTAINERS PVT LTD-SECURITY (NOIDA SEC-58),Payment,150000,
4-6-2017,AMPLE CONTAINERS PVT. LTD.,Payment,78750,
5-6-2017,ASHISH GUPTA IMPREST A/C-(MOHALI),Payment,8400,
5-6-2017,CASH FROM FIELD OPERATIONS,Payment,86600,
5-6-2017,Donation-Charitable Trust,Payment,33400,
5-6-2017,Donation-Charitable Trust,Payment,30000,
5-6-2017,Ashwani Wadhwa-Edelweiss Loan,Payment,126534,
5-6-2017,Ashwani Wadhwa-Ratnakar Bank Loan,Payment,125657,
5-6-2017,CAR LOAN WAGON-R-34533877392,Payment,7515,
5-6-2017,CAPITAL FIRST LTD.-LOAN A/C,Payment,143752,
5-6-2017,Ashwani Wadhwa-Fullertron Loan,Payment,91641,
5-6-2017,Salary Payable A/c,Payment,6135,
5-6-2017,Salary Payable A/c,Payment,42000,
5-6-2017,Salary Payable A/c,Payment,18000,
5-6-2017,Salary Payable A/c,Payment,17985,
6-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,200000,
6-6-2017,Salary Payable A/c,Payment,3823,
7-6-2017,Salary Payable A/c,Payment,6487,
7-6-2017,VIJAY AMRUTLAL PATEL (EECO CAR),Payment,11140,
7-6-2017,SUSPENSE-1,Payment,16500,
7-6-2017,Mohindra Enterprises,Payment,131250,
7-6-2017,Mohindra Enterprises,Payment,64552,
7-6-2017,KRITI BISHNOI,Payment,22500,
7-6-2017,SHIKHAR VISHNOI,Payment,33750,
7-6-2017,LAXMANDAS BHAGVANDAS,Payment,6000,
7-6-2017,GURMEET SINGH,Payment,29960,
7-6-2017,NAVNEET KAUR,Payment,29960,
7-6-2017,GURMEET KAUR,Payment,29960,
7-6-2017,Sandeep Agrawal,Payment,3500,
7-6-2017,VIJAY GUPTA HUF(RENT),Payment,45000,
8-6-2017,Bharti Airtel Ltd.,Payment,2251,
8-6-2017,Bharti Airtel Ltd.,Payment,1428,
8-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,200000,
8-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,100000,
8-6-2017,Ashwani Wadhwa-Magma Loan,Payment,56153,
8-6-2017,Salary Payable A/c,Payment,7974,
8-6-2017,RUPALI IMPREST (JAIPUR),Payment,15000,
8-6-2017,ASHISH GUPTA IMPREST A/C-(MOHALI),Payment,34567,
9-6-2017,Tata Teleservices Ltd.(Tel. Bill),Payment,1149,
9-6-2017,Tata Teleservices Ltd.(Tel. Bill),Payment,743,
9-6-2017,Tata Teleservices Ltd.(Tel. Bill),Payment,689,
9-6-2017,Tata Teleservices Ltd.(Tel. Bill),Payment,739,
9-6-2017,Vodafone Mobile Bill,Payment,1662,
9-6-2017,Vodafone Mobile Bill,Payment,367,
9-6-2017,Vodafone Mobile Bill,Payment,528,
9-6-2017,Vodafone Mobile Bill,Payment,36291,
9-6-2017,CITY BROADBAND SERVICES,Payment,4025,
9-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,300000,
9-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,200000,
9-6-2017,Shyam Sunder Tomar(Imprest),Payment,14000,
9-6-2017,ASHISH GUPTA IMPREST A/C-(MOHALI),Payment,5290,
9-6-2017,Advance Against Salary (Ahm),Payment,20000,
9-6-2017,Vodafone P2p Collection Mohali,Payment,3250,
9-6-2017,Vodafone P2p Collection Mohali,Payment,750,
9-6-2017,Salary Payable A/c,Payment,98351,
9-6-2017,SHAIK GOUSE BASHA-IMPREST A/C (HYD),Payment,4000,
9-6-2017,PARVEEN KUMAR IMPREST-DELHI,Payment,15000,
9-6-2017,Donation-Charitable Trust,Payment,25000,
9-6-2017,Salary Payable A/c,Payment,9501,
9-6-2017,Salary Payable A/c,Payment,5985,
9-6-2017,Salary Payable A/c,Payment,5379,
9-6-2017,Salary Payable A/c,Payment,9937,
9-6-2017,Ispark Dataconnect Pvt. Ltd.,Payment,150000,
9-6-2017,TEJAS IMPREST- TRAVELLING,Payment,3000,
9-6-2017,SCB CARD NO. 9356-5008-0744-7255,Payment,92000,
9-6-2017,MOBEEN AHMAD,Payment,11300,
9-6-2017,Hiren Advertising,Payment,43106,
9-6-2017,DEEPIKA KADYAN IMPREST- (KARNAL),Payment,8000,
9-6-2017,Naresh Chauhan Imperst A/c,Payment,10000,
9-6-2017,Shyam Sunder Tomar(Imprest),Payment,30000,
10-6-2017,Salary Payable A/c,Payment,2393,
12-6-2017,EXPENSES PAYABLE,Payment,8000,
12-6-2017,EE EUDD II MEERUT,Payment,43619,
12-6-2017,EE EUDD II MEERUT,Payment,56879,
12-6-2017,Prem Chand Food Industries Pvt Ltd.,Payment,105000,
12-6-2017,N-SURE SERVICES PRIVATE LIMITED,Payment,150474,
12-6-2017,N-SURE SERVICES PRIVATE LIMITED,Payment,311850,
12-6-2017,N-SURE SERVICES PRIVATE LIMITED,Payment,67122,
12-6-2017,BSES Rajdhani Power Ltd.-Okhla,Payment,243070,
12-6-2017,BSES Rajdhani Power Ltd.-Okhla,Payment,112960,
12-6-2017,BAJAJ FINSERV LOAN A/C-401PSB19743649,Payment,72305,
12-6-2017,Suspense,Payment,92000,
13-06-2017,Major Life Style Private Limited (Elect.),Payment,473,
13-06-2017,Major LIfe Style Private Limited (O. Rent),Payment,62559,
13-06-2017,Moon Light Electric Company.,Payment,18312,
13-06-2017,Bharat Security and Personal Service,Payment,58800,
13-06-2017,Peregrine Guarding Pvt. Ltd.,Payment,37790,
13-06-2017,STAR SOLUTION SERVICES,Payment,35506,
13-06-2017,Alert Security Services,Payment,19741,
13-06-2017,BRINKS SECURITY,Payment,20580,
13-06-2017,COOL WELL ENGINEERS,Payment,30000,
13-06-2017,Travelling Exp Payable Knl,Payment,1660,
13-06-2017,Travelling Exp Payable Knl,Payment,1488,
13-06-2017,Travelling Exp Payable Knl,Payment,5723,
13-06-2017,Travelling Exp Payable Knl,Payment,1070,
13-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,300000,
13-06-2017,Varalika Compu Power System,Payment,27120,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,50000,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,6706,
13-06-2017,Salary Payable A/c,Payment,50000,
13-06-2017,DEEPIKA KADYAN IMPREST- (KARNAL),Payment,20000,
13-06-2017,ASHISH GUPTA IMPREST A/C-(MOHALI),Payment,2250,
14-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,600000,
14-06-2017,Salary Payable A/c,Payment,70095,
14-06-2017,Salary Payable A/c,Payment,53823,
14-06-2017,Salary Payable A/c,Payment,26171,
14-06-2017,Salary Payable A/c,Payment,47860,
14-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,740000,
14-06-2017,Salary Payable A/c,Payment,33362,
14-06-2017,Salary Payable A/c,Payment,7450,
14-06-2017,Salary Payable A/c,Payment,8657,
14-06-2017,Salary Payable A/c,Payment,8043,
14-06-2017,Salary Payable A/c,Payment,6597,
14-06-2017,Salary Payable A/c,Payment,11888,
14-06-2017,Salary Payable A/c,Payment,136129,
14-06-2017,Travelling Exp Payable Knl,Payment,1488,
14-06-2017,Travelling Exp Payable Knl,Payment,850,
14-06-2017,Travelling Exp Payable Knl,Payment,962,
14-06-2017,Travelling Exp Payable Knl,Payment,535,
14-06-2017,SWASTIK COMPUTER (JAIPUR),Payment,10396,
14-06-2017,SWASTIK COMPUTER (DELHI),Payment,61999,
14-06-2017,Swastik Computer (AHM),Payment,110870,
14-06-2017,SWASTIK COMPUTER (JAIPUR),Payment,28702,
14-06-2017,M K AIR CONDITIONER SERVICE,Payment,68400,
14-06-2017,RYTHM  FACILITY AND SECURITY SERVICES PVT LTD.,Payment,50474,
14-06-2017,RMV IT SERVICES PVT LTD. (AHM),Payment,90965,
14-06-2017,RMV IT SERVICES PVT LTD.(JAIPUR),Payment,92999,
14-06-2017,Bank Charges,Payment,28.75,
14-06-2017,Bank Charges,Payment,172.5,
15-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,700000,
15-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,300000,
15-06-2017,Vodafone P2p Collection Mohali,Payment,1350,
15-06-2017,Salary Payable A/c,Payment,8988,
15-06-2017,Salary Payable A/c,Payment,12435,
15-06-2017,Salary Payable A/c,Payment,20159,
15-06-2017,Salary Payable A/c,Payment,15985,
15-06-2017,Salary Payable A/c,Payment,8985,
15-06-2017,Salary Payable A/c,Payment,11975,
15-06-2017,Salary Payable A/c,Payment,29928,
15-06-2017,Salary Payable A/c,Payment,28485,
15-06-2017,Vodafone Mpesa Jaipur,Payment,3000,
15-06-2017,BHAVNA HARJANI,Payment,28000,
15-06-2017,BHAVNA HARJANI,Payment,22000,
15-06-2017,Salary Payable A/c,Payment,81903,
15-06-2017,Ratan Singh,Payment,10000,
15-06-2017,ADVANCE AGAINST SALARY -HO,Payment,5000,
15-06-2017,TDS SALARY 2017-18,Payment,63673,
15-06-2017,TDS CONTRACTOR 2017-18,Payment,133353,
15-06-2017,MICRO SYSTEMS WORLD,Payment,37500,
15-06-2017,Suspense,Payment,20000,
15-06-2017,Deepak Kashyap Loan A/c,Payment,30000,
15-06-2017,Shah Agency,Payment,20120,
15-06-2017,Sai Enterprises,Payment,19800,
15-06-2017,Shree Canteen Service(Nitesh M Tiwari),Payment,15522,
15-06-2017,Active Group Security Services,Payment,43120,
15-06-2017,Anjuman  Generator,Payment,43120,
15-06-2017,Payal Diesel Service.,Payment,20573,
16-06-2017,Torrent Power-Limited.,Payment,517750,
16-06-2017,Vodafone Spacetel Ltd.,Payment,33063,
16-06-2017,Salary Payable A/c,Payment,28390,
16-06-2017,DEEPIKA KADYAN IMPREST- (KARNAL),Payment,5000,
16-06-2017,Salary Payable A/c,Payment,24748,
16-06-2017,Salary Payable A/c,Payment,16056,
16-06-2017,Salary Payable A/c,Payment,20414,
16-06-2017,Salary Payable A/c,Payment,11704,
16-06-2017,BLAZENET LIMITED,Payment,17000,
16-06-2017,CITY BROADBAND SERVICES,Payment,4025,
16-06-2017,Vodafone Spacetel Ltd.,Payment,19166,
16-06-2017,Tata Teleservices Ltd.(Tel. Bill),Payment,17250,
16-06-2017,PUNJAB STATE POWER CORPORATION LTD,Payment,77994,
17-06-2017,Naresh Chauhan Imperst A/c,Payment,15000,
17-06-2017,DEEPIKA KADYAN IMPREST- (KARNAL),Payment,5000,
17-06-2017,EPF Payable,Payment,431349,
19-06-2017,TEJAS IMPREST- TRAVELLING,Payment,5000,
19-06-2017,GAURAV RAJYAGURU (AHM),Payment,13470,
19-06-2017,Jay Sales & Services.,Payment,10451,
19-06-2017,Janta Oil Company (Karnal),Payment,10000,
20-06-2017,Uttar Harayana Bijli Vitran Nigam Ltd.,Payment,170582,
20-06-2017,QUALTOUCH BPO SOLUTIONS,Payment,400000,
20-06-2017,RUPALI IMPREST (JAIPUR),Payment,15000,
20-06-2017,Ankit Sharma Imprest A/c(MRT),Payment,5000,
20-06-2017,DEEPIKA KADYAN IMPREST- (KARNAL),Payment,6000,
20-06-2017,SHAIK GOUSE BASHA-IMPREST A/C (HYD),Payment,4000,
20-06-2017,Shyam Sunder Tomar(Imprest),Payment,22000,
20-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,300000,
20-06-2017,Salary Payable A/c,Payment,6928,
20-06-2017,Salary Payable A/c,Payment,15164,
20-06-2017,Salary Payable A/c,Payment,10919,
20-06-2017,Salary Payable A/c,Payment,5219,
20-06-2017,Salary Payable A/c,Payment,12683,
20-06-2017,Salary Payable A/c,Payment,15323,
20-06-2017,Salary Payable A/c,Payment,5742,
20-06-2017,Salary Payable A/c,Payment,7985,
20-06-2017,Salary Payable A/c,Payment,17646,
20-06-2017,Salary Payable A/c,Payment,4331,
20-06-2017,Salary Payable A/c,Payment,27553,
20-06-2017,Salary Payable A/c,Payment,117153,
20-06-2017,Salary Payable A/c,Payment,12940,
20-06-2017,Kesharsingh Vaktawarsingh Rajpurohit,Payment,138600,
20-06-2017,Sagarbhai Kalyanbhai Rayka,Payment,415800,
20-06-2017,Global Flash Courier,Payment,8385,
20-06-2017,ASM DRINKING  WATER,Payment,900,
20-06-2017,Singh Filling Station,Payment,24024,
20-06-2017,Shree Krishna Enterprises,Payment,18411,
20-06-2017,Suspense,Payment,8000,
20-06-2017,HARE KRISHNA TRADER(RAVI KUMAR),Payment,6754,
20-06-2017,Allied Communication Pvt.Ltd.,Payment,25531,
21-06-2017,Sunrise Estate Management Services,Payment,5428,
21-06-2017,VODAFONE SALES (P2P) AHM,Payment,22500,
21-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,700000,
21-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,400000,
21-06-2017,Salary Payable A/c,Payment,890,
21-06-2017,Salary Payable A/c,Payment,5958,
21-06-2017,Salary Payable A/c,Payment,8914,
21-06-2017,Vodafone P2p Collection Mohali,Payment,1500,
21-06-2017,Salary Payable A/c,Payment,15681,
21-06-2017,Salary Payable A/c,Payment,4228,
21-06-2017,Salary Payable A/c,Payment,15681,
21-06-2017,Salary Payable A/c,Payment,8119,
21-06-2017,DEEPIJA TELECOM PVT. LTD.,Payment,14464,
22-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,75000,
22-06-2017,Salary Payable A/c,Payment,5485,
22-06-2017,Salary Payable A/c,Payment,5018,
22-06-2017,Salary Payable A/c,Payment,13923,
22-06-2017,Salary Payable A/c,Payment,10973,
22-06-2017,Salary Payable A/c,Payment,5896,
22-06-2017,Salary Payable A/c,Payment,5719,
22-06-2017,Salary Payable A/c,Payment,5042,
22-06-2017,Salary Payable A/c,Payment,4952,
22-06-2017,Salary Payable A/c,Payment,4420,
22-06-2017,Salary Payable A/c,Payment,2026,
22-06-2017,Salary Payable A/c,Payment,7780,
22-06-2017,Salary Payable A/c,Payment,8963,
22-06-2017,Salary Payable A/c,Payment,3798,
22-06-2017,Salary Payable A/c,Payment,1404,
22-06-2017,Salary Payable A/c,Payment,5485,
22-06-2017,Salary Payable A/c,Payment,4952,
22-06-2017,Salary Payable A/c,Payment,4952,
22-06-2017,Salary Payable A/c,Payment,4686,
22-06-2017,Salary Payable A/c,Payment,4508,
22-06-2017,Salary Payable A/c,Payment,12304,
22-06-2017,Salary Payable A/c,Payment,22410,
22-06-2017,Salary Payable A/c,Payment,1246,
23-06-2017,SBC SYSTEMS(MOHALI),Payment,100000,
23-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,800000,
23-06-2017,Salary Payable A/c,Payment,10706,
23-06-2017,Salary Payable A/c,Payment,8028,
23-06-2017,Salary Payable A/c,Payment,8720,
23-06-2017,Salary Payable A/c,Payment,9625,
23-06-2017,Salary Payable A/c,Payment,7083,
23-06-2017,Salary Payable A/c,Payment,1785,
23-06-2017,Salary Payable A/c,Payment,11230,
23-06-2017,Salary Payable A/c,Payment,6479,
23-06-2017,Salary Payable A/c,Payment,5203,
23-06-2017,Salary Payable A/c,Payment,7566,
23-06-2017,SBI TERM LOAN A/C-35624889955,Payment,836331,
23-06-2017,EHI INTERNATIONAL PVT. LTD.,Payment,900000,
23-06-2017,Salary Payable A/c,Payment,4601,
23-06-2017,Salary Payable A/c,Payment,9333,
23-06-2017,Salary Payable A/c,Payment,5360,
23-06-2017,Salary Payable A/c,Payment,107048,
23-06-2017,Salary Payable A/c,Payment,155650,
23-06-2017,Salary Payable A/c,Payment,14672,
23-06-2017,Salary Payable A/c,Payment,11105,
23-06-2017,Contract Fees Payable,Payment,10000,
23-06-2017,TRAVELLING A/C  PAYABLE- HO,Payment,15000,
24-06-2017,Ispark Dataconnect Pvt. Ltd.,Payment,150000,
24-06-2017,Salary Payable A/c,Payment,11420,
